Order_ID,Order_Month,Order_Date,Region,Product,Sales_Amount
1,Jan-2024,2024-01-01 00:00:00,East,Tablet,9935
2,Jan-2024,2024-01-01 01:00:00,West,Headphones,38266
3,Jan-2024,2024-01-01 02:00:00,North,Mobile,662
4,Jan-2024,2024-01-01 03:00:00,East,Headphones,35242
5,Jan-2024,2024-01-01 04:00:00,East,Headphones,20175
6,Jan-2024,2024-01-01 05:00:00,West,Tablet,8961
7,Jan-2024,2024-01-01 06:00:00,North,Headphones,17515
8,Jan-2024,2024-01-01 07:00:00,North,Tablet,33091
9,Jan-2024,2024-01-01 08:00:00,East,Laptop,28547
10,Jan-2024,2024-01-01 09:00:00,South,Laptop,35282
11,Jan-2024,2024-01-01 10:00:00,East,Tablet,10333
12,Jan-2024,2024-01-01 11:00:00,East,Laptop,8396
13,Jan-2024,2024-01-01 12:00:00,East,Mobile,33472
14,Jan-2024,2024-01-01 13:00:00,East,Headphones,42300
15,Jan-2024,2024-01-01 14:00:00,West,Mobile,31008
16,Jan-2024,2024-01-01 15:00:00,North,Headphones,5847
17,Jan-2024,2024-01-01 16:00:00,West,Laptop,30814
18,Jan-2024,2024-01-01 17:00:00,West,Mobile,3143
19,Jan-2024,2024-01-01 18:00:00,West,Laptop,41285
20,Jan-2024,2024-01-01 19:00:00,East,Headphones,19181
21,Jan-2024,2024-01-01 20:00:00,South,Tablet,38828
22,Jan-2024,2024-01-01 21:00:00,North,Tablet,16392
23,Jan-2024,2024-01-01 22:00:00,South,Mobile,47799
24,Jan-2024,2024-01-01 23:00:00,West,Laptop,17573
25,Jan-2024,2024-01-02 00:00:00,West,Laptop,37268
26,Jan-2024,2024-01-02 01:00:00,South,Mobile,31182
27,Jan-2024,2024-01-02 02:00:00,South,Tablet,32762
28,Jan-2024,2024-01-02 03:00:00,South,Headphones,31858
29,Jan-2024,2024-01-02 04:00:00,West,Mobile,14789
30,Jan-2024,2024-01-02 05:00:00,West,Headphones,8427
31,Jan-2024,2024-01-02 06:00:00,North,Tablet,48830
32,Jan-2024,2024-01-02 07:00:00,North,Laptop,1671
33,Jan-2024,2024-01-02 08:00:00,West,Tablet,12418
34,Jan-2024,2024-01-02 09:00:00,South,Mobile,42403
35,Jan-2024,2024-01-02 10:00:00,South,Laptop,39610
36,Jan-2024,2024-01-02 11:00:00,North,Mobile,12429
37,Jan-2024,2024-01-02 12:00:00,West,Mobile,3039
38,Jan-2024,2024-01-02 13:00:00,North,Tablet,37227
39,Jan-2024,2024-01-02 14:00:00,North,Mobile,46451
40,Jan-2024,2024-01-02 15:00:00,East,Tablet,23169
41,Jan-2024,2024-01-02 16:00:00,East,Laptop,5932
42,Jan-2024,2024-01-02 17:00:00,East,Tablet,21144
43,Jan-2024,2024-01-02 18:00:00,South,Laptop,19245
44,Jan-2024,2024-01-02 19:00:00,West,Tablet,28728
45,Jan-2024,2024-01-02 20:00:00,West,Headphones,35021
46,Jan-2024,2024-01-02 21:00:00,West,Headphones,32203
47,Jan-2024,2024-01-02 22:00:00,West,Mobile,27428
48,Jan-2024,2024-01-02 23:00:00,East,Tablet,18822
49,Jan-2024,2024-01-03 00:00:00,South,Tablet,22860
50,Jan-2024,2024-01-03 01:00:00,South,Laptop,29555
51,Jan-2024,2024-01-03 02:00:00,East,Mobile,43391
52,Jan-2024,2024-01-03 03:00:00,South,Tablet,16876
53,Jan-2024,2024-01-03 04:00:00,East,Mobile,7088
54,Jan-2024,2024-01-03 05:00:00,West,Headphones,25500
55,Jan-2024,2024-01-03 06:00:00,East,Tablet,6804
56,Jan-2024,2024-01-03 07:00:00,West,Tablet,7845
57,Jan-2024,2024-01-03 08:00:00,West,Mobile,29800
58,Jan-2024,2024-01-03 09:00:00,North,Tablet,24759
59,Jan-2024,2024-01-03 10:00:00,East,Mobile,25970
60,Jan-2024,2024-01-03 11:00:00,North,Tablet,23517
